region_id,region_type,zipcode,state,metro_area,city,county
84524,zip,60473,IL,"Chicago-Naperville-Elgin, IL-IN-WI",South Holland,Cook County
84588,zip,60560,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Yorkville,Kendall County
84535,zip,60491,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Homer Glen,Will County
84695,zip,60827,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Riverdale,Cook County
84587,zip,60559,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Westmont,DuPage County
78088,zip,46311,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Dyer,Lake County
84362,zip,60108,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Bloomingdale,DuPage County
84403,zip,60153,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Maywood,Cook County
84314,zip,60051,IL,"Chicago-Naperville-Elgin, IL-IN-WI",nan,McHenry County
78093,zip,46322,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Highland,Lake County
78092,zip,46321,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Munster,Lake County
84461,zip,60406,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Blue Island,Cook County
84418,zip,60172,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Roselle,DuPage County
84538,zip,60502,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Aurora,DuPage County
81243,zip,53143,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha,Kenosha County
84589,zip,60561,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Darien,DuPage County
78119,zip,46375,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Schererville,Lake County
84423,zip,60177,IL,"Chicago-Naperville-Elgin, IL-IN-WI",South Elgin,Kane County
84424,zip,60178,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Sycamore,DeKalb County
84598,zip,60585,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Plainfield,Will County
84494,zip,60443,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Matteson,Cook County
399713,zip,60642,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
78095,zip,46324,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Hammond,Lake County
84391,zip,60140,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hampshire,Kane County
84501,zip,60450,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Morris,Grundy County
84653,zip,60656,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84478,zip,60426,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Harvey,Cook County
84692,zip,60803,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Alsip,Cook County
78094,zip,46323,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Hammond,Lake County
84482,zip,60431,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Joliet,Will County
84382,zip,60131,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Franklin Park,Cook County
84534,zip,60490,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Bolingbrook,Will County
84483,zip,60432,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Joliet,Will County
84277,zip,60008,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Rolling Meadows,Cook County
84308,zip,60045,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake Forest,Lake County
84651,zip,60654,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84471,zip,60419,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Dolton,Cook County
84498,zip,60447,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Minooka,Kendall County
84439,zip,60194,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Schaumburg,Cook County
