region_id,region_type,region,Zipcode,State,Metro Area,City,County
97978,zip,"95110;CA;San Jose-Sunnyvale-Santa Clara, CA;San Jose;Santa Clara County",95110,CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,Santa Clara County
73187,zip,"34715;FL;Orlando-Kissimmee-Sanford, FL;Minneola;Lake County",34715,FL,"Orlando-Kissimmee-Sanford, FL",Minneola,Lake County
93043,zip,"79714;TX;Andrews, TX;Andrews;Andrews County",79714,TX,"Andrews, TX",Andrews,Andrews County
77198,zip,"44485;OH;Youngstown-Warren-Boardman, OH-PA;Warren;Trumbull County",44485,OH,"Youngstown-Warren-Boardman, OH-PA",Warren,Trumbull County
88641,zip,"70518;LA;Lafayette, LA;Broussard;Lafayette Parish",70518,LA,"Lafayette, LA",Broussard,Lafayette Parish
87600,zip,"67460;KS;McPherson, KS;McPherson;McPherson County",67460,KS,"McPherson, KS",McPherson,McPherson County
75351,zip,"39562;MS;Gulfport-Biloxi, MS;Moss Point;Jackson County",39562,MS,"Gulfport-Biloxi, MS",Moss Point,Jackson County
87400,zip,"67005;KS;Winfield, KS;Arkansas City;Cowley County",67005,KS,"Winfield, KS",Arkansas City,Cowley County
69970,zip,"28460;NC;Jacksonville, NC;Sneads Ferry;Onslow County",28460,NC,"Jacksonville, NC",Sneads Ferry,Onslow County
72681,zip,"33565;FL;Tampa-St. Petersburg-Clearwater, FL;Plant City;Hillsborough County",33565,FL,"Tampa-St. Petersburg-Clearwater, FL",Plant City,Hillsborough County
63965,zip,"15234;PA;Pittsburgh, PA;Pittsburgh;Allegheny County",15234,PA,"Pittsburgh, PA",Pittsburgh,Allegheny County
91091,zip,"75801;TX;Palestine, TX;Palestine;Anderson County",75801,TX,"Palestine, TX",Palestine,Anderson County
72439,zip,"33136;FL;Miami-Fort Lauderdale-Pompano Beach, FL;Miami;Miami-Dade County",33136,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,Miami-Dade County
96490,zip,"91746;CA;Los Angeles-Long Beach-Anaheim, CA;La Puente;Los Angeles County",91746,CA,"Los Angeles-Long Beach-Anaheim, CA",La Puente,Los Angeles County
85826,zip,"62966;IL;Carbondale-Marion, IL;Murphysboro;Jackson County",62966,IL,"Carbondale-Marion, IL",Murphysboro,Jackson County
92014,zip,"77541;TX;Houston-The Woodlands-Sugar Land, TX;Freeport;Brazoria County",77541,TX,"Houston-The Woodlands-Sugar Land, TX",Freeport,Brazoria County
90702,zip,"75116;TX;Dallas-Fort Worth-Arlington, TX;Duncanville;Dallas County",75116,TX,"Dallas-Fort Worth-Arlington, TX",Duncanville,Dallas County
85944,zip,"63126;MO;St. Louis, MO-IL;Crestwood;Saint Louis County",63126,MO,"St. Louis, MO-IL",Crestwood,Saint Louis County
95033,zip,"85653;AZ;Tucson, AZ;Marana;Pima County",85653,AZ,"Tucson, AZ",Marana,Pima County
72674,zip,"33549;FL;Tampa-St. Petersburg-Clearwater, FL;Lutz;Hillsborough County",33549,FL,"Tampa-St. Petersburg-Clearwater, FL",Lutz,Hillsborough County
399662,zip,"85658;AZ;Tucson, AZ;Marana;Pima County",85658,AZ,"Tucson, AZ",Marana,Pima County
95198,zip,"86426;AZ;Lake Havasu City-Kingman, AZ;Fort Mohave;Mohave County",86426,AZ,"Lake Havasu City-Kingman, AZ",Fort Mohave,Mohave County
94471,zip,"84111;UT;Salt Lake City, UT;Salt Lake City;Salt Lake County",84111,UT,"Salt Lake City, UT",Salt Lake City,Salt Lake County
93533,zip,"80751;CO;Sterling, CO;Sterling;Logan County",80751,CO,"Sterling, CO",Sterling,Logan County
79114,zip,"48302;MI;Detroit-Warren-Dearborn, MI;Bloomfield Hills;Oakland County",48302,MI,"Detroit-Warren-Dearborn, MI",Bloomfield Hills,Oakland County
72303,zip,"32922;FL;Palm Bay-Melbourne-Titusville, FL;Cocoa;Brevard County",32922,FL,"Palm Bay-Melbourne-Titusville, FL",Cocoa,Brevard County
91844,zip,77328;TX;nan;Cleveland;San Jacinto County,77328,TX,nan,Cleveland,San Jacinto County
98144,zip,"95366;CA;Stockton, CA;Ripon;San Joaquin County",95366,CA,"Stockton, CA",Ripon,San Joaquin County
59018,zip,"3055;NH;Manchester-Nashua, NH;Milford;Hillsborough County",03055,NH,"Manchester-Nashua, NH",Milford,Hillsborough County
69363,zip,"27504;NC;Raleigh-Cary, NC;Benson;Johnston County",27504,NC,"Raleigh-Cary, NC",Benson,Johnston County
98952,zip,"96821;HI;Urban Honolulu, HI;Honolulu;Honolulu County",96821,HI,"Urban Honolulu, HI",Honolulu,Honolulu County
95994,zip,"90013;CA;Los Angeles-Long Beach-Anaheim, CA;Los Angeles;Los Angeles County",90013,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
89193,zip,"71753;AR;Magnolia, AR;Magnolia;Columbia County",71753,AR,"Magnolia, AR",Magnolia,Columbia County
74625,zip,38063;TN;nan;Ripley;Lauderdale County,38063,TN,nan,Ripley,Lauderdale County
76709,zip,43506;OH;nan;Bryan;Williams County,43506,OH,nan,Bryan,Williams County
77161,zip,"44420;OH;Youngstown-Warren-Boardman, OH-PA;Girard;Trumbull County",44420,OH,"Youngstown-Warren-Boardman, OH-PA",Girard,Trumbull County
60905,zip,"8008;NJ;New York-Newark-Jersey City, NY-NJ-PA;Long Beach Township;Ocean County",08008,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Long Beach Township,Ocean County
93806,zip,"81521;CO;Grand Junction, CO;Fruita;Mesa County",81521,CO,"Grand Junction, CO",Fruita,Mesa County
99304,zip,"97459;OR;Coos Bay, OR;nan;Coos County",97459,OR,"Coos Bay, OR",nan,Coos County
66583,zip,"20724;MD;Baltimore-Columbia-Towson, MD;Laurel;Anne Arundel County",20724,MD,"Baltimore-Columbia-Towson, MD",Laurel,Anne Arundel County
87078,zip,"66067;KS;Ottawa, KS;Ottawa;Franklin County",66067,KS,"Ottawa, KS",Ottawa,Franklin County
58737,zip,"2351;MA;Boston-Cambridge-Newton, MA-NH;Abington;Plymouth County",02351,MA,"Boston-Cambridge-Newton, MA-NH",Abington,Plymouth County
61847,zip,"10538;NY;New York-Newark-Jersey City, NY-NJ-PA;Larchmont;Westchester County",10538,NY,"New York-Newark-Jersey City, NY-NJ-PA",Larchmont,Westchester County
92577,zip,"78642;TX;Austin-Round Rock-Georgetown, TX;Liberty Hill;Williamson County",78642,TX,"Austin-Round Rock-Georgetown, TX",Liberty Hill,Williamson County
67190,zip,"22205;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV;Arlington;Arlington County",22205,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington,Arlington County
80284,zip,"50313;IA;Des Moines-West Des Moines, IA;Des Moines;Polk County",50313,IA,"Des Moines-West Des Moines, IA",Des Moines,Polk County
