region_id,region_type,Metro_Name,State
394519,metro,Daphne,AL
395247,metro,Yuma,AZ
394763,metro,Lake Charles,LA
394691,metro,Houma,LA
394597,metro,Florence,SC
395118,metro,St. Cloud,MN
395151,metro,Terre Haute,IN
394406,metro,Bowling Green,KY
394559,metro,El Centro,CA
394748,metro,Kingston,NY
395007,metro,Pueblo,CO
394671,metro,Hattiesburg,MS
394393,metro,Bloomington,IN
394731,metro,Kahului,HI
394710,metro,Jackson,MI
394453,metro,Chambersburg,PA
394523,metro,Decatur,AL
394662,metro,Hanford,CA
394493,metro,Concord,NH
394873,metro,Monroe,MI
394723,metro,Jefferson City,MO
394598,metro,Florence,AL
394802,metro,London,KY
395193,metro,Vineland,NJ
395036,metro,Rocky Mount,NC
395013,metro,Rapid City,SD
394800,metro,Logan,UT
394880,metro,Morristown,TN
394515,metro,Dalton,GA
395000,metro,Pottsville,PA
394879,metro,Morgantown,WV
395139,metro,Sumter,SC
394756,metro,La Crosse,WI
394728,metro,Jonesboro,AR
395117,metro,Springfield,OH
394368,metro,Battle Creek,MI
394890,metro,Mount Vernon,WA
394390,metro,Bismarck,ND
394983,metro,Pittsfield,MA
394588,metro,Farmington,NM
394905,metro,New Bern,NC
395054,metro,San Angelo,TX
394949,metro,Owensboro,KY
753890,metro,Holland,MI
394407,metro,Bozeman,MT
394495,metro,Cookeville,TN
394374,metro,Beckley,WV
753872,metro,California,MD
394333,metro,Anniston,AL
395173,metro,Twin Falls,ID
394804,metro,Longview,WA
394857,metro,Michigan City,IN
395023,metro,Richmond,KY
395168,metro,Tullahoma,TN
394762,metro,LaGrange,GA
394369,metro,Bay City,MI
394462,metro,Cheyenne,WY
394689,metro,Hot Springs,AR
395166,metro,Truckee,CA
395190,metro,Victoria,TX
395038,metro,Rome,GA
394542,metro,Dubuque,IA
394513,metro,Cumberland,MD
394410,metro,Brainerd,MN
394911,metro,New Philadelphia,OH
394964,metro,Parkersburg,WV
394641,metro,Grants Pass,OR
395248,metro,Zanesville,OH
395042,metro,Russellville,AR
394755,metro,Kokomo,IN
394644,metro,Great Falls,MT
394744,metro,Key West,FL
394629,metro,Georgetown,SC
394939,metro,Oneonta,NY
394402,metro,Boone,NC
394411,metro,Branson,MO
395122,metro,St. Marys,GA
753920,metro,Sonora,CA
394951,metro,Oxford,MS
394344,metro,Athens,TN
394861,metro,Milledgeville,GA
394503,metro,Corsicana,TX
395081,metro,Sedalia,MO
394433,metro,Cambridge,MD
395006,metro,Provo,UT
395224,metro,Wichita,KS
394352,metro,Augusta,GA
394446,metro,Cedar City,UT
395189,metro,Vicksburg,MS
395208,metro,Washington,NC
394616,metro,Freeport,IL
394667,metro,Harrison,AR
394482,metro,Coldwater,MI
394695,metro,Huntingdon,PA
395216,metro,Waycross,GA
394721,metro,Jasper,IN
394981,metro,Pittsburg,KS
394556,metro,Edwards,CO
394547,metro,Durango,CO
394750,metro,Kinston,NC
395070,metro,Savannah,GA
394327,metro,Anchorage,AK
394372,metro,Beaumont,TX
395096,metro,Shreveport,LA
395164,metro,Trenton,NJ
394875,metro,Montgomery,AL
394520,metro,Davenport,IA
394997,metro,Portland,ME
394967,metro,Payson,AZ
394571,metro,Enterprise,AL
394339,metro,Ashland,OH
395073,metro,Scottsboro,AL
394746,metro,Killeen,TX
394811,metro,Lynchburg,VA
394585,metro,Fargo,ND
394361,metro,Barnstable Town,MA
394378,metro,Bellingham,WA
395029,metro,Rochelle,IL
394538,metro,Douglas,GA
394933,metro,Oil City,PA
394838,metro,Mason City,IA
394717,metro,Jacksonville,TX
753874,metro,Craig,CO
394625,metro,Galesburg,IL
394954,metro,Pahrump,NV
394963,metro,Paris,TX
395234,metro,Winona,MN
753905,metro,Newport,OR
394906,metro,New Castle,IN
394919,metro,Norfolk,NE
394431,metro,Cadillac,MI
395053,metro,Salt Lake City,UT
394974,metro,Philadelphia,PA
394714,metro,Jacksonville,FL
395043,metro,Ruston,LA
395097,metro,Sidney,OH
395008,metro,Pullman,WA
394527,metro,Del Rio,TX
395116,metro,Springfield,MO
394391,metro,Blackfoot,ID
395017,metro,Red Wing,MN
394500,metro,Cornelia,GA
