region_id,region_type,region,County Name,State,Metro Area
1252,county,"Nassau County;NY;New York-Newark-Jersey City, NY-NJ-PA",Nassau County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2288,county,"Franklin County;OH;Columbus, OH",Franklin County,OH,"Columbus, OH"
1950,county,"Oakland County;MI;Detroit-Warren-Dearborn, MI",Oakland County,MI,"Detroit-Warren-Dearborn, MI"
2339,county,"Hennepin County;MN;Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
1440,county,"Travis County;TX;Austin-Round Rock-Georgetown, TX",Travis County,TX,"Austin-Round Rock-Georgetown, TX"
2241,county,"Cuyahoga County;OH;Cleveland-Elyria, OH",Cuyahoga County,OH,"Cleveland-Elyria, OH"
2614,county,"Allegheny County;PA;Pittsburgh, PA",Allegheny County,PA,"Pittsburgh, PA"
2840,county,"Salt Lake County;UT;Salt Lake City, UT",Salt Lake County,UT,"Salt Lake City, UT"
3159,county,"Contra Costa County;CA;San Francisco-Oakland-Berkeley, CA",Contra Costa County,CA,"San Francisco-Oakland-Berkeley, CA"
1694,county,"Fairfax County;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
324,county,"Wake County;NC;Raleigh-Cary, NC",Wake County,NC,"Raleigh-Cary, NC"
3102,county,"Mecklenburg County;NC;Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,NC,"Charlotte-Concord-Gastonia, NC-SC"
2975,county,"Montgomery County;MD;Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1020,county,"Fulton County;GA;Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
951,county,"Collin County;TX;Dallas-Fort Worth-Arlington, TX",Collin County,TX,"Dallas-Fort Worth-Arlington, TX"
281,county,"Pima County;AZ;Tucson, AZ",Pima County,AZ,"Tucson, AZ"
2347,county,"Honolulu County;HI;Urban Honolulu, HI",Honolulu County,HI,"Urban Honolulu, HI"
1018,county,"Fresno County;CA;Fresno, CA",Fresno County,CA,"Fresno, CA"
3130,county,"Saint Louis County;MO;St. Louis, MO-IL",Saint Louis County,MO,"St. Louis, MO-IL"
3148,county,"Westchester County;NY;New York-Newark-Jersey City, NY-NJ-PA",Westchester County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
489,county,"Duval County;FL;Jacksonville, FL",Duval County,FL,"Jacksonville, FL"
1165,county,"Marion County;IN;Indianapolis-Carmel-Anderson, IN",Marion County,IN,"Indianapolis-Carmel-Anderson, IN"
2480,county,"Pinellas County;FL;Tampa-St. Petersburg-Clearwater, FL",Pinellas County,FL,"Tampa-St. Petersburg-Clearwater, FL"
3246,county,"Prince Georges County;MD;Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2694,county,"Fairfield County;CT;Bridgeport-Stamford-Norwalk, CT",Fairfield County,CT,"Bridgeport-Stamford-Norwalk, CT"
874,county,"Bergen County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Bergen County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
157,county,"Erie County;NY;Buffalo-Cheektowaga, NY",Erie County,NY,"Buffalo-Cheektowaga, NY"
2314,county,"Gwinnett County;GA;Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
2804,county,"Milwaukee County;WI;Milwaukee-Waukesha, WI",Milwaukee County,WI,"Milwaukee-Waukesha, WI"
1682,county,"DuPage County;IL;Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1388,county,"Shelby County;TN;Memphis, TN-MS-AR",Shelby County,TN,"Memphis, TN-MS-AR"
1322,county,"Pierce County;WA;Seattle-Tacoma-Bellevue, WA",Pierce County,WA,"Seattle-Tacoma-Bellevue, WA"
204,county,"Kern County;CA;Bakersfield, CA",Kern County,CA,"Bakersfield, CA"
2337,county,"Hartford County;CT;Hartford-East Hartford-Middletown, CT",Hartford County,CT,"Hartford-East Hartford-Middletown, CT"
988,county,"Denton County;TX;Dallas-Fort Worth-Arlington, TX",Denton County,TX,"Dallas-Fort Worth-Arlington, TX"
1155,county,"Macomb County;MI;Detroit-Warren-Dearborn, MI",Macomb County,MI,"Detroit-Warren-Dearborn, MI"
3227,county,"San Francisco County;CA;San Francisco-Oakland-Berkeley, CA",San Francisco County,CA,"San Francisco-Oakland-Berkeley, CA"
1776,county,"Hidalgo County;TX;McAllen-Edinburg-Mission, TX",Hidalgo County,TX,"McAllen-Edinburg-Mission, TX"
2815,county,"New Haven County;CT;New Haven-Milford, CT",New Haven County,CT,"New Haven-Milford, CT"
1690,county,"El Paso County;TX;El Paso, TX",El Paso County,TX,"El Paso, TX"
2802,county,"Middlesex County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2879,county,"Worcester County;MA;Worcester, MA-CT",Worcester County,MA,"Worcester, MA-CT"
504,county,"Essex County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Essex County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2981,county,"Montgomery County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2626,county,"Baltimore County;MD;Baltimore-Columbia-Towson, MD",Baltimore County,MD,"Baltimore-Columbia-Towson, MD"
2061,county,"Ventura County;CA;Oxnard-Thousand Oaks-Ventura, CA",Ventura County,CA,"Oxnard-Thousand Oaks-Ventura, CA"
2322,county,"Hamilton County;OH;Cincinnati, OH-KY-IN",Hamilton County,OH,"Cincinnati, OH-KY-IN"
2847,county,"Snohomish County;WA;Seattle-Tacoma-Bellevue, WA",Snohomish County,WA,"Seattle-Tacoma-Bellevue, WA"
2810,county,"Multnomah County;OR;Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,OR,"Portland-Vancouver-Hillsboro, OR-WA"
2698,county,"Fort Bend County;TX;Houston-The Woodlands-Sugar Land, TX",Fort Bend County,TX,"Houston-The Woodlands-Sugar Land, TX"
503,county,"Essex County;MA;Boston-Cambridge-Newton, MA-NH",Essex County,MA,"Boston-Cambridge-Newton, MA-NH"
2045,county,"Suffolk County;MA;Boston-Cambridge-Newton, MA-NH",Suffolk County,MA,"Boston-Cambridge-Newton, MA-NH"
2463,county,"Oklahoma County;OK;Oklahoma City, OK",Oklahoma County,OK,"Oklahoma City, OK"
2742,county,"Jefferson County;KY;Louisville/Jefferson County, KY-IN",Jefferson County,KY,"Louisville/Jefferson County, KY-IN"
3134,county,"San Joaquin County;CA;Stockton, CA",San Joaquin County,CA,"Stockton, CA"
135,county,"Cobb County;GA;Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
2842,county,"San Mateo County;CA;San Francisco-Oakland-Berkeley, CA",San Mateo County,CA,"San Francisco-Oakland-Berkeley, CA"
984,county,"Dekalb County;GA;Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
1223,county,"Monroe County;NY;Rochester, NY",Monroe County,NY,"Rochester, NY"
80,county,"Lee County;FL;Cape Coral-Fort Myers, FL",Lee County,FL,"Cape Coral-Fort Myers, FL"
1689,county,"El Paso County;CO;Colorado Springs, CO",El Paso County,CO,"Colorado Springs, CO"
1948,county,"Norfolk County;MA;Boston-Cambridge-Newton, MA-NH",Norfolk County,MA,"Boston-Cambridge-Newton, MA-NH"
220,county,"Lake County;IL;Chicago-Naperville-Elgin, IL-IN-WI",Lake County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1804,county,"Jackson County;MO;Kansas City, MO-KS",Jackson County,MO,"Kansas City, MO-KS"
285,county,"Polk County;FL;Lakeland-Winter Haven, FL",Polk County,FL,"Lakeland-Winter Haven, FL"
1106,county,"Hudson County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Hudson County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2243,county,"Davidson County;TN;Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
989,county,"Denver County;CO;Denver-Aurora-Lakewood, CO",Denver County,CO,"Denver-Aurora-Lakewood, CO"
330,county,"Will County;IL;Chicago-Naperville-Elgin, IL-IN-WI",Will County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
3289,county,"District of Columbia;DC;Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2889,county,"Bernalillo County;NM;Albuquerque, NM",Bernalillo County,NM,"Albuquerque, NM"
2732,county,"Jefferson County;AL;Birmingham-Hoover, AL",Jefferson County,AL,"Birmingham-Hoover, AL"
757,county,"Tulsa County;OK;Tulsa, OK",Tulsa County,OK,"Tulsa, OK"
3001,county,"Providence County;RI;Providence-Warwick, RI-MA",Providence County,RI,"Providence-Warwick, RI-MA"
201,county,"Kent County;MI;Grand Rapids-Kentwood, MI",Kent County,MI,"Grand Rapids-Kentwood, MI"
2127,county,"Arapahoe County;CO;Denver-Aurora-Lakewood, CO",Arapahoe County,CO,"Denver-Aurora-Lakewood, CO"
322,county,"Utah County;UT;Provo-Orem, UT",Utah County,UT,"Provo-Orem, UT"
414,county,"Bucks County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2441,county,"Monmouth County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
659,county,"Ocean County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Ocean County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2983,county,"Montgomery County;TX;Houston-The Woodlands-Sugar Land, TX",Montgomery County,TX,"Houston-The Woodlands-Sugar Land, TX"
1822,county,"Johnson County;KS;Kansas City, MO-KS",Johnson County,KS,"Kansas City, MO-KS"
1556,county,"Brevard County;FL;Palm Bay-Melbourne-Titusville, FL",Brevard County,FL,"Palm Bay-Melbourne-Titusville, FL"
