region_id,region_type,county,state,metro_area
1622,county,Clayton County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
1300,county,Ottawa County,MI,"Grand Rapids-Kentwood, MI"
2616,county,Anchorage Borough,AK,"Anchorage, AK"
2668,county,Cleveland County,OK,"Oklahoma City, OK"
2779,county,Lexington County,SC,"Columbia, SC"
232,county,Leon County,FL,"Tallahassee, FL"
2575,county,Thurston County,WA,"Olympia-Lacey-Tumwater, WA"
1110,county,Ingham County,MI,"Lansing-East Lansing, MI"
2877,county,Winnebago County,IL,"Rockford, IL"
1650,county,Dauphin County,PA,"Harrisburg-Carlisle, PA"
3261,county,San Luis Obispo County,CA,"San Luis Obispo-Paso Robles, CA"
864,county,Benton County,AR,"Fayetteville-Springdale-Rogers, AR"
1196,county,Merced County,CA,"Merced, CA"
344,county,York County,SC,"Charlotte-Concord-Gastonia, NC-SC"
1509,county,Alachua County,FL,"Gainesville, FL"
2133,county,Atlantic County,NJ,"Atlantic City-Hammonton, NJ"
1138,county,Kitsap County,WA,"Bremerton-Silverdale-Port Orchard, WA"
3025,county,Santa Cruz County,CA,"Santa Cruz-Watsonville, CA"
2849,county,Saint Joseph County,IN,"South Bend-Mishawaka, IN-MI"
159,county,Erie County,PA,"Erie, PA"
2987,county,New London County,CT,"Norwich-New London, CT"
2699,county,Frederick County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
410,county,Brown County,WI,"Green Bay, WI"
2156,county,Buncombe County,NC,"Asheville, NC"
328,county,Webb County,TX,"Laredo, TX"
1900,county,Madison County,IL,"St. Louis, MO-IL"
3128,county,Saint Johns County,FL,"Jacksonville, FL"
3061,county,Washington County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3225,county,Saint Tammany Parish,LA,"New Orleans-Metairie, LA"
625,county,Marin County,CA,"San Francisco-Oakland-Berkeley, CA"
2188,county,Cherokee County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
2761,county,Kalamazoo County,MI,"Kalamazoo-Portage, MI"
802,county,Weber County,UT,"Ogden-Clearfield, UT"
3122,county,Saint Clair County,IL,"St. Louis, MO-IL"
1761,county,Harford County,MD,"Baltimore-Columbia-Towson, MD"
2429,county,McLennan County,TX,"Waco, TX"
67,county,Bay County,FL,"Panama City, FL"
2914,county,Cumberland County,PA,"Harrisburg-Carlisle, PA"
2754,county,Jefferson County,TX,"Beaumont-Port Arthur, TX"
1503,county,Yakima County,WA,"Yakima, WA"
126,county,Clay County,MO,"Kansas City, MO-KS"
3254,county,Chesapeake City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
1711,county,Forsyth County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
3048,county,Washington County,AR,"Fayetteville-Springdale-Rogers, AR"
3080,county,Williamson County,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
2770,county,Lafayette Parish,LA,"Lafayette, LA"
1480,county,Warren County,OH,"Cincinnati, OH-KY-IN"
3173,county,Norfolk City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
553,county,Henry County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
770,county,Union County,NC,"Charlotte-Concord-Gastonia, NC-SC"
2619,county,Arlington County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2529,county,Saratoga County,NY,"Albany-Schenectady-Troy, NY"
178,county,Hays County,TX,"Austin-Round Rock-Georgetown, TX"
1412,county,Sussex County,DE,"Salisbury, MD-DE"
2112,county,Yavapai County,AZ,"Prescott Valley-Prescott, AZ"
225,county,Lake County,OH,"Cleveland-Elyria, OH"
1283,county,Oneida County,NY,"Utica-Rome, NY"
725,county,Smith County,TX,"Tyler, TX"
890,county,Brazos County,TX,"College Station-Bryan, TX"
562,county,Hinds County,MS,"Jackson, MS"
2967,county,Montgomery County,AL,"Montgomery, AL"
2399,county,Mahoning County,OH,"Youngstown-Warren-Boardman, OH-PA"
235,county,Linn County,IA,"Cedar Rapids, IA"
2885,county,Barnstable County,MA,"Barnstable Town, MA"
1525,county,Baldwin County,AL,"Daphne-Fairhope-Foley, AL"
1032,county,Gaston County,NC,"Charlotte-Concord-Gastonia, NC-SC"
2744,county,Jefferson County,MO,"St. Louis, MO-IL"
3219,county,Richmond City,VA,"Richmond, VA"
3109,county,New Hanover County,NC,"Wilmington, NC"
2086,county,Whatcom County,WA,"Bellingham, WA"
3043,county,Tuscaloosa County,AL,"Tuscaloosa, AL"
2141,county,Berkeley County,SC,"Charleston-North Charleston, SC"
1809,county,Jackson County,OR,"Medford, OR"
2159,county,Cabarrus County,NC,"Charlotte-Concord-Gastonia, NC-SC"
1381,county,Shelby County,AL,"Birmingham-Hoover, AL"
2252,county,Dona Ana County,NM,"Las Cruces, NM"
418,county,Butte County,CA,"Chico, CA"
340,county,Yolo County,CA,"Sacramento-Roseville-Folsom, CA"
118,county,Clay County,FL,"Jacksonville, FL"
2982,county,Montgomery County,TN,"Clarksville, TN-KY"
2949,county,Lackawanna County,PA,"Scranton--Wilkes-Barre, PA"
1946,county,Niagara County,NY,"Buffalo-Cheektowaga, NY"
2644,county,Calcasieu Parish,LA,"Lake Charles, LA"
1210,county,Mohave County,AZ,"Lake Havasu City-Kingman, AZ"
2249,county,Delaware County,OH,"Columbus, OH"
2360,county,Johnston County,NC,"Raleigh-Cary, NC"
341,county,York County,ME,"Portland-South Portland, ME"
2460,county,Okaloosa County,FL,"Crestview-Fort Walton Beach-Destin, FL"
3070,county,Washington County,PA,"Pittsburgh, PA"
2206,county,Clermont County,OH,"Cincinnati, OH-KY-IN"
2333,county,Harrison County,MS,"Gulfport-Biloxi, MS"
2648,county,Champaign County,IL,"Champaign-Urbana, IL"
1691,county,Elkhart County,IN,"Elkhart-Goshen, IN"
2509,county,Richmond County,GA,"Augusta-Richmond County, GA-SC"
872,county,Benton County,WA,"Kennewick-Richland, WA"
2448,county,Muscogee County,GA,"Columbus, GA-AL"
347,county,Yuma County,AZ,"Yuma, AZ"
2122,county,Anderson County,SC,"Greenville-Anderson, SC"
2583,county,Trumbull County,OH,"Youngstown-Warren-Boardman, OH-PA"
172,county,Hall County,GA,"Gainesville, GA"
1285,county,Onslow County,NC,"Jacksonville, NC"
1092,county,Hawaii County,HI,"Hilo, HI"
3129,county,Saint Louis County,MN,"Duluth, MN-WI"
895,county,Broome County,NY,"Binghamton, NY"
1348,county,Racine County,WI,"Racine, WI"
2526,county,Sangamon County,IL,"Springfield, IL"
2679,county,Deschutes County,OR,"Bend, OR"
2805,county,Minnehaha County,SD,"Sioux Falls, SD"
2959,county,Livingston County,MI,"Detroit-Warren-Dearborn, MI"
1407,county,Sumner County,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
905,county,Butler County,PA,"Pittsburgh, PA"
2341,county,Hernando County,FL,"Tampa-St. Petersburg-Clearwater, FL"
2691,county,El Dorado County,CA,"Sacramento-Roseville-Folsom, CA"
2010,county,Saginaw County,MI,"Saginaw, MI"
2820,county,Outagamie County,WI,"Appleton, WI"
704,county,Sarpy County,NE,"Omaha-Council Bluffs, NE-IA"
498,county,Ellis County,TX,"Dallas-Fort Worth-Arlington, TX"
3041,county,Tippecanoe County,IN,"Lafayette-West Lafayette, IN"
2138,county,Beaufort County,SC,"Hilton Head Island-Bluffton, SC"
2955,county,Litchfield County,CT,"Torrington, CT"
2650,county,Charlotte County,FL,"Punta Gorda, FL"
3026,county,Santa Rosa County,FL,"Pensacola-Ferry Pass-Brent, FL"
1789,county,Iredell County,NC,"Charlotte-Concord-Gastonia, NC-SC"
983,county,DeSoto County,MS,"Memphis, TN-MS-AR"
3278,county,Newport News City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
113,county,Cass County,ND,"Fargo, ND-MN"
1314,county,Peoria County,IL,"Peoria, IL"
395,county,Boone County,MO,"Columbia, MO"
1832,county,Kanawha County,WV,"Charleston, WV"
