region_id,region_type,zipcode,state,metro_area,city,county
70019,zip,28543, NC, Jacksonville, Onslow County,
86263,zip,63954, MO," Poplar Bluff, MO", Butler County, Neelyville
94611,zip,84628, UT," Provo-Orem, UT", Juab County, Eureka
69192,zip,27047, NC," Mount Airy, NC", Surry County, Siloam
99324,zip,97486, OR," Roseburg, OR", Douglas County, Umpqua
89534,zip,72412, AR," Paragould, AR", Greene County,
91504,zip,76632, TX," Waco, TX", Falls County,
89753,zip,72769, AR," Fayetteville-Springdale-Rogers, AR", Washington County, Summers
90760,zip,75207, TX, Dallas-Fort Worth-Arlington, Dallas County, Dallas
88551,zip,70353, LA," Houma-Thibodaux, LA", Terrebonne Parish, Dulac
86214,zip,63846, MO, Stoddard County, Essex,
64722,zip,16726, PA," Bradford, PA", McKean County, Cyclone
89055,zip,71367, LA, Evangeline Parish, Saint Landry,
64348,zip,15864, PA, Clarion County, Summerville,
90968,zip,75556, TX, Cass County, Queen City,
85189,zip,61845, IL," Champaign-Urbana, IL", Champaign County, Foosland
71998,zip,32437, FL, Washington County, Ebro,
76870,zip,43840, OH," New Philadelphia-Dover, OH", Tuscarawas County, Stone Creek
86268,zip,63961, MO," Poplar Bluff, MO", Butler County, Qulin
86449,zip,64446, MO, Atchison County, Fairfax,
95523,zip,88027, NM," Las Cruces, NM", Dona Ana County, Anthony
94973,zip,85540, AZ, Greenlee County, Morenci,
97742,zip,94535, CA, Vallejo-Fairfield, Solano County, Fairfield
76828,zip,43754, OH, Monroe County, Lewisville,
83122,zip,57066, SD, Bon Homme County, Tyndall,
59428,zip,04275, ME, Oxford County, Byron,
75024,zip,38838, MS, Tishomingo County, Dennis,
71761,zip,32061, FL," Lake City, FL", Columbia County, Lake Butler
83092,zip,57034, SD," Sioux Falls, SD", Lincoln County, Hudson
99266,zip,97416, OR," Roseburg, OR", Douglas County, Camas Valley
69958,zip,28448, NC, Bladen County, Kelly,
89817,zip,72934, AR," Fort Smith, AR-OK", Crawford County, Chester
71341,zip,30905, GA, Augusta-Richmond County, Richmond County, Augusta
75132,zip,39078, MS," Jackson, MS", Copiah County, Georgetown
89416,zip,72157, AR, Conway County, Springfield,
89732,zip,72739, AR," Fayetteville-Springdale-Rogers, AR", Benton County, Bella Vista
92440,zip,78406, TX," Corpus Christi, TX", Nueces County, Corpus Christi
88670,zip,70552, LA," Lafayette, LA", Iberia Parish, Loreauville
88779,zip,70755, LA," Baton Rouge, LA", Pointe Coupee Parish, Livonia
86670,zip,65046, MO," Jefferson City, MO", Moniteau County,
73709,zip,36041, AL, Crenshaw County, Highland Home,
74096,zip,36922, AL, Sumter County, Bellamy,
95132,zip,86023, AZ, Flagstaff, Coconino County, Grand Canyon
58127,zip,00902, UT, Kane County, San Juan,
96575,zip,91980, CA, San Diego-Carlsbad, San Diego County, Tecate
58014,zip,00616, TX, Victoria, Victoria County,
92330,zip,78234, TX, San Antonio-New Braunfels, Bexar County, San Antonio
75111,zip,39045, MS," Jackson, MS", Madison County, Camden
62477,zip,12207, NY, Albany-Schenectady-Troy, Albany County, Albany
64615,zip,16501, PA, Erie, Erie County,
87013,zip,65801, MO, Springfield, Greene County,
75848,zip,40972, KY," London, KY", Clay County, Buckhorn
81123,zip,52801, IA, Davenport-Moline-Rock Island, Scott County, Davenport
95525,zip,88029, NM, Deming, Luna County, Columbus
95356,zip,87323, NM, Grants, Cibola County, Prewitt
95261,zip,87026, NM, Albuquerque, Valencia County, Laguna
88554,zip,70356, LA, Houma-Thibodaux, Terrebonne Parish, Gibson
93940,zip,82514, WY, Riverton, Fremont County, Fort Washakie
88675,zip,70559, LA, Lafayette, Acadia Parish, Morse
90431,zip,74502, OK, McAlester, Pittsburg County,
93093,zip,79831, TX, Brewster County, Alpine,
74950,zip,38670, MS, Quitman County, Sledge,
97334,zip,93556, CA, Bakersfield, Kern County, Ridgecrest
88436,zip,70049, LA, New Orleans-Metairie, Saint John the Baptist Parish, Edgard
71501,zip,31315, GA, Hinesville, Liberty County,
83606,zip,58329, ND, Rolette County, Dunseith,
98180,zip,95416, CA, Santa Rosa, Sonoma County, Sonoma
67262,zip,22448, VA, King George County, King George,
95659,zip,88435, NM, Guadalupe County, Santa Rosa,
93677,zip,81073, CO, Baca County, Springfield,
71444,zip,31098, GA, Warner Robins, Houston County,
95227,zip,86512, AZ, Apache County, Sanders,
80062,zip,49965, MI," Houghton, MI", Houghton County, Toivola
95165,zip,86321, AZ, Prescott, Yavapai County, Bagdad
94830,zip,85236, AZ, Phoenix-Mesa-Scottsdale, Maricopa County, Gilbert
91341,zip,76264, TX," Sherman-Denison, TX", Grayson County, Sadler
65600,zip,18824, PA, Susquehanna County, Hop Bottom,
85640,zip,62701, IL, Springfield, Sangamon County,
95421,zip,87548, NM," Espa-ola, NM", Rio Arriba County, Medanales
58832,zip,02641, MA, Barnstable Town, Barnstable County, Dennis
75057,zip,38879, MS, Tupelo, Lee County, Verona
91937,zip,77446, TX," Houston-The Woodlands-Sugar Land, TX", Waller County, Prairie View
93430,zip,80497, CO, Breckenridge, Summit County, Silverthorne
58956,zip,02876, RI, Providence-Warwick, Providence County, North Smithfield
69574,zip,27878, NC, Wilson, Wilson County, Elm City
64043,zip,15349, PA, Greene County, Perry Township,
96781,zip,92281, CA, El Centro, Imperial County, Westmorland
84093,zip,59521, MT, Chouteau County, Big Sandy,
99868,zip,98558, WA, Seattle-Tacoma-Bellevue, Pierce County, Roy
93026,zip,79607, TX, Abilene, Taylor County,
99875,zip,98565, WA, Centralia, Lewis County, Napavine
89043,zip,71354, LA, Natchez, Concordia Parish, Monterey
95394,zip,87514, NM, Taos, Taos County, Arroyo Seco
88734,zip,70659, LA, Fort Polk South, Vernon Parish, Rosepine
70311,zip,29113, SC," Orangeburg, SC", Orangeburg County, Norway
88604,zip,70451, LA, Hammond, Tangipahoa Parish, Tickfaw
78144,zip,46411, IN, Chicago-Naperville-Elgin, Whiting,Lake County
88868,zip,71030, LA, Shreveport-Bossier City, De Soto Parish, Gloster
74290,zip,37315, TN, Chattanooga, Hamilton County, Collegedale
83592,zip,58282, ND, Pembina County, Walhalla,
89031,zip,71336, LA, Franklin Parish, Gilbert,
88900,zip,71072, LA, Shreveport-Bossier City, Webster Parish, Shongaloo
89105,zip,71456, LA, Natchitoches, Natchitoches Parish, Natchez
64033,zip,15338, PA, Greene County, Monongahela Township,
95578,zip,88135, NM, Clovis, Curry County, Texico
100317,zip,99635, AK, Kenai Peninsula Borough, Soldotna,
90530,zip,74802, OK, Shawnee, Pottawatomie County,
95529,zip,88033, NM, Las Cruces, Dona Ana County,
86729,zip,65236, MO, Chariton County, Brunswick,
69947,zip,28434, NC, Bladen County, Council,
88653,zip,70531, LA, Lafayette, Acadia Parish, Egan
89206,zip,71802, AR, Hope, Hempstead County,
85511,zip,62466, IL, Lawrence County, Sumner,
95256,zip,87021, NM, Grants, Cibola County,
62294,zip,11947, NY, New York-Newark-Jersey City, Suffolk County, Riverhead
59819,zip,05088, VT, Claremont-Lebanon, Windsor County, Hartford
73621,zip,35808, AL, Huntsville, Madison County,
88864,zip,71024, LA, Shreveport-Bossier City, Webster Parish, Dubberly
88874,zip,71038, LA, Claiborne Parish, Haynesville,
90422,zip,74465, OK, Tahlequah, Cherokee County,
64024,zip,15327, PA, Greene County, Dunkard Township,
85701,zip,62828, IL, Hamilton County, Dahlgren,
92389,zip,78335, TX, Corpus Christi, San Patricio County, Aransas Pass
90100,zip,73624, OK, Washita County, Burns Flat,
88769,zip,70740, LA, Baton Rouge, Iberville Parish, Grosse Tete
83248,zip,57356, SD, Charles Mix County, Lake Andes,
95205,zip,86434, AZ, Lake Havasu City-Kingman, Mohave County, Kingman
86747,zip,65261, MO, Chariton County, Marceline,
98225,zip,95466, CA, Ukiah, Mendocino County, Philo
89360,zip,72082, AR," Searcy, AR", White County, Kensett
71287,zip,30722, GA, Dalton, Whitfield County,
68973,zip,26302, WV, Clarksburg, Harrison County,
88958,zip,71219, LA, Franklin Parish, Baskin,
88979,zip,71247, LA, Jackson Parish, Hodge,
92919,zip,79351, TX, Lubbock, Lynn County, O'Donnell
89501,zip,72358, AR, Blytheville, Mississippi County, Luxora
90532,zip,74818, OK, Seminole County, Seminole,
70738,zip,29845, SC, McCormick County, Modoc,
65428,zip,18335, PA, East Stroudsburg, Monroe County,
58803,zip,02553, TX, Houston-The Woodlands-Sugar Land, Liberty County, Cleveland
100430,zip,99762, AK, Nome Borough, Nome,
95425,zip,87553, NM, Taos, Taos County, Penasco
98235,zip,95481, CA, Ukiah, Mendocino County,
97353,zip,93606, CA, Fresno, Fresno County,
58097,zip,00775, TX, Stephenville, Erath County, Culebra
83789,zip,58704, ND," Minot, ND", Ward County, Minot AFB
97380,zip,93637,CA,"Madera, CA",Madera,Madera County
85840,zip,62984, IL, Gallatin County, Shawneetown,
89654,zip,72602, AR, Harrison, Boone County,
78584,zip,47401,IN,"Bloomington, IN",Bloomington,Monroe County
58292,zip,01202, MA, Pittsfield, Berkshire County,
92766,zip,79013, TX," Dumas, TX", Moore County, Cactus
83043,zip,56738, MN, Marshall County,,
89794,zip,72863, AR, Logan County, Scranton,
68678,zip,25632, WV," Mount Gay-Shamrock, WV", Logan County, Lyburn
94597,zip,84542, UT, Price, Carbon County, Wellington
81855,zip,54731, WI, Rusk County,,
78523,zip,47304,IN,"Muncie, IN",Muncie,Delaware County
59021,zip,03061, NH, Manchester-Nashua, Hillsborough County, Nashua
89046,zip,71357, LA, Tensas Parish, Newellton,
75992,zip,41332, KY, Morgan County, Hazel Green,
100203,zip,99348, WA," Walla Walla, WA", Walla Walla County, Prescott
85505,zip,62460, IL, Lawrence County,,
89583,zip,72469, AR, Lawrence County, Strawberry,
75998,zip,41348, KY, Breathitt County, Lost Creek,
74966,zip,38704, MS, Greenville, Washington County,
68069,zip,24265, VA, Lee County, Keokee,
89042,zip,71353, LA," Opelousas, LA", Saint Landry Parish, Melville
83022,zip,56713, MN, Marshall County, Argyle,
70580,zip,29592, SC, Marion County, Sellers,
93424,zip,80480, CO, Jackson County, Walden,
95365,zip,87375, NM, Gallup, McKinley County,
74907,zip,38617, MS," Clarksdale, MS", Coahoma County, Coahoma
90712,zip,75127, TX, Van Zandt County, Fruitvale,
90460,zip,74560, OK," McAlester, OK", Pittsburg County, Pittsburg
83267,zip,57380, SD, Charles Mix County, Wagner,
86205,zip,63829, MO," Kennett, MO", Dunklin County, Cardwell
86209,zip,63837, MO," Kennett, MO", Dunklin County, Clarkton
73453,zip,35441, AL," Tuscaloosa, AL", Hale County, Akron
76052,zip,41554, KY, Pike County, Phyllis,
92263,zip,78117, TX, Karnes County, Karnes City,
68822,zip,25920, WV," Beckley, WV", Raleigh County, Rhodell
85184,zip,61840, IL," Champaign-Urbana, IL", Champaign County, Dewey
88427,zip,70036, LA," New Orleans-Metairie, LA", Jefferson Parish, Barataria
97367,zip,93621, CA," Fresno, CA", Fresno County, Dunlap
