region_id,region_type,city,state
394378,metro,Bellingham, WA
394429,metro,Burlington, VT
395030,metro,Rochester, MN
395040,metro,Roswell, NM
395092,metro,Shelton, WA
394540,metro,Dublin, GA
394713,metro,Jackson, WY
394385,metro,Big Spring, TX
394557,metro,Effingham, IL
394983,metro,Pittsfield, MA
395153,metro,The Villages, FL
394307,metro,Albany, OR
394633,metro,Glens Falls, NY
394780,metro,Lawton, OK
394474,metro,Cleveland, TN
395098,metro,Sierra Vista, AZ
394325,metro,Ames, IA
395008,metro,Pullman, WA
394819,metro,Malone, NY
394527,metro,Del Rio, TX
394391,metro,Blackfoot, ID
395017,metro,Red Wing, MN
394918,metro,Nogales, AZ
395144,metro,Tahlequah, OK
394739,metro,Kendallville, IN
394959,metro,Pampa, TX
394470,metro,Clarksdale, MS
395130,metro,Sterling, CO
394371,metro,Beatrice, NE
394718,metro,Jamestown, ND
394656,metro,Grenada, MS
394837,metro,Maryville, MO
394337,metro,Arkadelphia, AR
394798,metro,Little Rock, AR
395245,metro,Youngstown, OH
394770,metro,Lansing, MI
394590,metro,Fayetteville, AR
394589,metro,Fayetteville, NC
394792,metro,Lexington, KY
394971,metro,Pensacola, FL
394941,metro,Opelousas, LA
394675,metro,Helena, MT
394744,metro,Key West, FL
395145,metro,Talladega, AL
395133,metro,Stillwater, OK
394489,metro,Columbus, IN
394345,metro,Athens, TX
394452,metro,Centralia, WA
394822,metro,Manitowoc, WI
394682,metro,Hinesville, GA
394541,metro,DuBois, PA
395068,metro,Santa Rosa, CA
394698,metro,Huntsville, AL
394995,metro,Port St. Lucie, FL
394890,metro,Mount Vernon, WA
394719,metro,Jamestown, NY
394878,metro,Morgan City, LA
395091,metro,Shelbyville, TN
395154,metro,Thomaston, GA
394642,metro,Grants, NM
394381,metro,Bennettsville, SC
395205,metro,Warsaw, IN
394445,metro,Casper, WY
394300,metro,Ada, OK
394415,metro,Bridgeport, CT
394380,metro,Bend, OR
395047,metro,Saginaw, MI
395202,metro,Warner Robins, GA
395151,metro,Terre Haute, IN
394544,metro,Dumas, TX
394374,metro,Beckley, WV
395225,metro,Williamsport, PA
395214,metro,Wauchula, FL
394554,metro,Easton, MD
394948,metro,Owatonna, MN
394888,metro,Mount Vernon, IL
395181,metro,Uvalde, TX
394818,metro,Magnolia, AR
394743,metro,Ketchikan, AK
394784,metro,Levelland, TX
753874,metro,Craig, CO
394659,metro,Guymon, OK
395188,metro,Vernon, TX
394767,metro,Lamesa, TX
845158,metro,Dayton, OH
394543,metro,Duluth, MN
845159,metro,Poughkeepsie, NY
845160,metro,Prescott Valley, AZ
845164,metro,Lebanon, NH
845167,metro,Ottawa, IL
395237,metro,Wooster, OH
786258,metro,Fort Payne, AL
845163,metro,Jasper, AL
845162,metro,Granbury, TX
786250,metro,Alexander City, AL
786259,metro,Grand Rapids, MN
845165,metro,Minden, LA
394603,metro,Fort Dodge, IA
786251,metro,Atmore, AL
786252,metro,Bonham, TX
845172,metro,Winfield, KS
786262,metro,Pella, IA
845166,metro,Mount Gay, WV
786261,metro,Jennings, LA
786264,metro,St. Marys, PA
102001,metro,United States,
394913,metro,New York, NY
753899,metro,Los Angeles, CA
394463,metro,Chicago, IL
394514,metro,Dallas, TX
394692,metro,Houston, TX
395209,metro,Washington, DC
394974,metro,Philadelphia, PA
394856,metro,Miami, FL
394347,metro,Atlanta, GA
394404,metro,Boston, MA
394976,metro,Phoenix, AZ
395057,metro,San Francisco, CA
395025,metro,Riverside, CA
394532,metro,Detroit, MI
395078,metro,Seattle, WA
394865,metro,Minneapolis, MN
395056,metro,San Diego, CA
395148,metro,Tampa, FL
394530,metro,Denver, CO
394358,metro,Baltimore, MD
395121,metro,St. Louis, MO
394943,metro,Orlando, FL
394458,metro,Charlotte, NC
395055,metro,San Antonio, TX
394998,metro,Portland, OR
395045,metro,Sacramento, CA
394982,metro,Pittsburgh, PA
394466,metro,Cincinnati, OH
394355,metro,Austin, TX
394775,metro,Las Vegas, NV
394735,metro,Kansas City, MO
394492,metro,Columbus, OH
394705,metro,Indianapolis, IN
394475,metro,Cleveland, OH
395059,metro,San Jose, CA
394902,metro,Nashville, TN
395194,metro,Virginia Beach, VA
395005,metro,Providence, RI
394714,metro,Jacksonville, FL
394862,metro,Milwaukee, WI
394935,metro,Oklahoma City, OK
395012,metro,Raleigh, NC
394849,metro,Memphis, TN
395022,metro,Richmond, VA
394807,metro,Louisville, KY
394910,metro,New Orleans, LA
395053,metro,Salt Lake City, UT
394669,metro,Hartford, CT
394425,metro,Buffalo, NY
394388,metro,Birmingham, AL
395031,metro,Rochester, NY
394640,metro,Grand Rapids, MI
