region_id,region_type,city,state,state_region,county,value
30909,city,Clarendon Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,513086.4386
49651,city,Riverside,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,466168.3949
5087,city,Harwood Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,350877.20755
11600,city,Gilberts,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,297733.1771
48562,city,Wonder Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,170047.6961
25600,city,Lincolnshire,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,535877.3698
44323,city,Broadview,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,156237.7621
4538,city,Elburn,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,272079.7848
49831,city,Steger,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,149771.27275
44035,city,Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,447686.78115
22817,city,Wauconda,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,223795.9122
30391,city,Beecher,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,188464.76065
28578,city,Glencoe,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1162020.7
9540,city,Spring Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,248569.3872
52845,city,Lake Bluff,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,447654.7131
24780,city,Fox Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,149652.45415
49282,city,Island Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,187927.56864999997
14002,city,Stickney,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,191831.16055
23111,city,Lynwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,176862.5241
49047,city,Gages Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,191858.6917
36276,city,Sauk Village,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,112709.49059999999
49870,city,Willow Springs,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,292372.9924
18306,city,Glenwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,93517.36054
45691,city,Hawthorn Woods,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,537490.8915500001
19681,city,North Riverside,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,276886.65605
48096,city,University Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,119465.33885
37699,city,Calumet Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,74123.02317500001
51561,city,Countryside,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,256556.9263
32233,city,Johnsburg,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,250612.80479999998
53859,city,Peotone,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,220641.765
41988,city,Bristol,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,207691.4446
56120,city,Orland Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,232907.3454
48549,city,Winthrop Harbor,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,184403.16365
27856,city,West Dundee,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,306646.4375
6402,city,Park City,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,220604.5747
26856,city,Round Lake Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,114956.3491
22183,city,Olympia Fields,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,247307.5248
16472,city,Deer Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,562421.31955
26782,city,Riverwoods,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,763888.70875
5421,city,Kildeer,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,672573.7461999999
46069,city,Kouts,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,158153.2649
28509,city,Highwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,345242.15535
51115,city,Braidwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,149840.90405
40087,city,Northfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,662491.50635
5484,city,Lake Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,409612.26435
44139,city,Berkeley,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,207334.92369999998
40587,city,Robbins,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,21396.96285
