region_id,region_type,region
2742,county,"Jefferson County;KY;Louisville/Jefferson County, KY-IN"
3134,county,"San Joaquin County;CA;Stockton, CA"
17326,city,"Cartwright;OK;Durant, OK;Bryan County"
276345,neigh,"Glendale;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Queens County"
46390,city,"Mangonia Park;FL;Miami-Fort Lauderdale-Pompano Beach, FL;Palm Beach County"
57243,city,"Forest Heights;MD;Washington-Arlington-Alexandria, DC-VA-MD-WV;Prince Georges County"
403221,neigh,"Prospect Lefferts Gardens;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Kings County"
15170,city,"Hickman;TN;Nashville-Davidson--Murfreesboro--Franklin, TN;Smith County"
4547,city,"Elizabeth;AR;Mountain Home, AR;Fulton County"
129530,city,"Isle of Hope;GA;Savannah, GA;Chatham County"
17954,city,"Elkwood;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV;Culpeper County"
21330,city,"Winchester;MO;St. Louis, MO-IL;Saint Louis County"
45801,city,"Honor;MI;Traverse City, MI;Benzie County"
36636,city,"Hydes;MD;Baltimore-Columbia-Towson, MD;Baltimore County"
39615,city,Mapleton;ME;nan;Aroostook County
28152,city,"Arapaho;OK;Weatherford, OK;Custer County"
40369,city,"Pleasant Hill;OH;Dayton-Kettering, OH;Miami County"
36439,city,"Rose Creek;MN;Austin, MN;Mower County"
17605,city,Cove;AR;nan;Polk County
56920,city,Lobelville;TN;nan;Perry County
24409,city,"Dora;AL;Jasper, AL;Walker County"
9362,city,"Wolf Creek;OR;Grants Pass, OR;Josephine County"
5420,city,"Kiel;WI;Manitowoc, WI;Manitowoc County"
25866,city,"Merrionette Park;IL;Chicago-Naperville-Elgin, IL-IN-WI;Cook County"
18547,city,"Herminie;PA;Pittsburgh, PA;Westmoreland County"
20703,city,"Sulphur Rock;AR;Batesville, AR;Independence County"
29490,city,"Warrensburg;IL;Decatur, IL;Macon County"
25735,city,"Mannsville;NY;Watertown-Fort Drum, NY;Jefferson County"
32726,city,"Martinsville;OH;Wilmington, OH;Clinton County"
3923,city,Cadiz;OH;nan;Harrison County
14619,city,"White Pine;TN;Morristown, TN;Jefferson County"
28459,city,"Keyport;WA;Bremerton-Silverdale-Port Orchard, WA;Kitsap County"
10649,city,"Cabazon;CA;Riverside-San Bernardino-Ontario, CA;Riverside County"
42032,city,"Clinton;OH;Akron, OH;Summit County"
24720,city,"Fletcher;OH;Dayton-Kettering, OH;Miami County"
8021,city,"Wykoff;MN;Rochester, MN;Fillmore County"
174813,city,"Saint George;MO;St. Louis, MO-IL;Saint Louis County"
32365,city,"Laflin;PA;Scranton--Wilkes-Barre, PA;Luzerne County"
824031,city,"Middlesex;NY;Rochester, NY;Yates County"
135,county,"Cobb County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
2842,county,"San Mateo County;CA;San Francisco-Oakland-Berkeley, CA"
984,county,"Dekalb County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
1223,county,"Monroe County;NY;Rochester, NY"
80,county,"Lee County;FL;Cape Coral-Fort Myers, FL"
1689,county,"El Paso County;CO;Colorado Springs, CO"
343220,neigh,"Kingsbridge;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Bronx County"
1948,county,"Norfolk County;MA;Boston-Cambridge-Newton, MA-NH"
220,county,"Lake County;IL;Chicago-Naperville-Elgin, IL-IN-WI"
1804,county,"Jackson County;MO;Kansas City, MO-KS"
285,county,"Polk County;FL;Lakeland-Winter Haven, FL"
1106,county,"Hudson County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
2243,county,"Davidson County;TN;Nashville-Davidson--Murfreesboro--Franklin, TN"
989,county,"Denver County;CO;Denver-Aurora-Lakewood, CO"
330,county,"Will County;IL;Chicago-Naperville-Elgin, IL-IN-WI"
3289,county,"District of Columbia;DC;Washington-Arlington-Alexandria, DC-VA-MD-WV"
2889,county,"Bernalillo County;NM;Albuquerque, NM"
2732,county,"Jefferson County;AL;Birmingham-Hoover, AL"
757,county,"Tulsa County;OK;Tulsa, OK"
3001,county,"Providence County;RI;Providence-Warwick, RI-MA"
201,county,"Kent County;MI;Grand Rapids-Kentwood, MI"
196338,neigh,"Middle Village;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Queens County"
2127,county,"Arapahoe County;CO;Denver-Aurora-Lakewood, CO"
322,county,"Utah County;UT;Provo-Orem, UT"
414,county,"Bucks County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2441,county,"Monmouth County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
659,county,"Ocean County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
270902,neigh,Ocean Hill; NY; New York-Newark-Jersey City; Kings County; New York
2983,county,"Montgomery County;TX;Houston-The Woodlands-Sugar Land, TX"
1822,county,"Johnson County;KS;Kansas City, MO-KS"
1556,county,"Brevard County;FL;Palm Bay-Melbourne-Titusville, FL"
3069,county,"Washington County;OR;Portland-Vancouver-Hillsboro, OR-WA"
3236,county,"Baltimore City;MD;Baltimore-Columbia-Towson, MD"
3081,county,"Williamson County;TX;Austin-Round Rock-Georgetown, TX"
3152,county,"Anne Arundel County;MD;Baltimore-Columbia-Towson, MD"
2734,county,"Jefferson County;CO;Denver-Aurora-Lakewood, CO"
1676,county,"Douglas County;NE;Omaha-Council Bluffs, NE-IA"
1558,county,"Bristol County;MA;Providence-Warwick, RI-MA"
2251,county,"Delaware County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
771,county,"Union County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
2986,county,"New Castle County;DE;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
146,county,"Dane County;WI;Madison, WI"
669,county,"Pasco County;FL;Tampa-St. Petersburg-Clearwater, FL"
3033,county,"Stanislaus County;CA;Modesto, CA"
2776,county,"Lancaster County;PA;Lancaster, PA"
1349,county,"Ramsey County;MN;Minneapolis-St. Paul-Bloomington, MN-WI"
2063,county,"Volusia County;FL;Deltona-Daytona Beach-Ormond Beach, FL"
1404,county,"Summit County;OH;Akron, OH"
2312,county,"Guilford County;NC;Greensboro-High Point, NC"
2980,county,"Montgomery County;OH;Dayton-Kettering, OH"
1611,county,"Chester County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2033,county,"Spokane County;WA;Spokane-Spokane Valley, WA"
2482,county,"Plymouth County;MA;Boston-Cambridge-Newton, MA-NH"
911,county,"Camden County;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
273483,neigh,"Downtown;NJ;New York-Newark-Jersey City, NY-NJ-PA;Jersey City;Hudson County"
1964,county,"Passaic County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
2537,county,"Sedgwick County;KS;Wichita, KS"
2934,county,"Greenville County;SC;Greenville-Anderson, SC"
197,county,"Kane County;IL;Chicago-Naperville-Elgin, IL-IN-WI"
353,county,"Adams County;CO;Denver-Aurora-Lakewood, CO"
202734,neigh,"Osgood;ND;Fargo, ND-MN;Fargo;Cass County"
1241,county,"Morris County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
448,county,"Clark County;WA;Portland-Vancouver-Hillsboro, OR-WA"
763764,neigh,"The District;ND;Fargo, ND-MN;Fargo;Cass County"
221,county,"Lake County;IN;Chicago-Naperville-Elgin, IL-IN-WI"
2511,county,"Richmond County;NY;New York-Newark-Jersey City, NY-NJ-PA"
44302,neigh,"Briarwood;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Queens County"
1396,county,"Sonoma County;CA;Santa Rosa-Petaluma, CA"
287,county,"Polk County;IA;Des Moines-West Des Moines, IA"
66,county,"Ada County;ID;Boise City, ID"
1485,county,"Washoe County;NV;Reno, NV"
3247,county,"Prince William County;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV"
215,county,"Knox County;TN;Knoxville, TN"
2465,county,"Onondaga County;NY;Syracuse, NY"
1442,county,"Tulare County;CA;Visalia, CA"
2538,county,"Seminole County;FL;Orlando-Kissimmee-Sanford, FL"
1746,county,"Hampden County;MA;Springfield, MA"
2896,county,"Burlington County;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
3286,county,"Virginia Beach City;VA;Virginia Beach-Norfolk-Newport News, VA-NC"
3266,county,"East Baton Rouge Parish;LA;Baton Rouge, LA"
343,county,"York County;PA;York-Hanover, PA"
1395,county,"Solano County;CA;Vallejo, CA"
3229,county,"Santa Barbara County;CA;Santa Maria-Santa Barbara, CA"
2743,county,"Jefferson Parish;LA;New Orleans-Metairie, LA"
2444,county,"Monterey County;CA;Salinas, CA"
971,county,"Dakota County;MN;Minneapolis-St. Paul-Bloomington, MN-WI"
616,county,"Lucas County;OH;Toledo, OH"
2528,county,"Sarasota County;FL;North Port-Sarasota-Bradenton, FL"
385,county,"Berks County;PA;Reading, PA"
